Beno Eckmann,Michel Kervaire,
Beno Eckmann,Ernst Specker,
Beno Eckmann,Urs Stammbach,
Friedrich Hirzebruch,Egbert Brieskorn,German
Friedrich Hirzebruch,Detlef Gromoll,German
Friedrich Hirzebruch,Matthias Kreck,German
Friedrich Hirzebruch,Winfried Scharlau,German
Friedrich Hirzebruch,Friedhelm Waldhausen,German
Friedrich Hirzebruch,Don Bernard Zagier,German
Friedrich Hirzebruch,Lothar Göttsche,German
Friedrich Hirzebruch,Don Zagier,German
Michel Kervaire,Eva Bayer-Fluckiger,French
Michel Kervaire,Frank Quinn,French
Hans Samelson,Allen Hatcher,German American
Hans Samelson,Roger W. Richardson,German American
Eduard Stiefel,Corrado Böhm,Swiss
Eduard Stiefel,Jean Descloux,Swiss
Eduard Stiefel,Fritz-Rudolf Güntsch,Swiss
Eduard Stiefel,Werner Gysin,Swiss
Eduard Stiefel,Walter Habicht,Swiss
Eduard Stiefel,Peter Henrici,Swiss
Eduard Stiefel,Urs Kirchgraber,Swiss
Eduard Stiefel,Peter Läuchli,Swiss
Eduard Stiefel,Max Rössler,Swiss
Eduard Stiefel,Hans Rudolf Schwarz,Swiss
Eduard Stiefel,Ambros Speiser,Swiss
Eduard Stiefel,Peter K. Henrici,Swiss
James J. Stoker,Louis Nirenberg,American
James J. Stoker,Jean Van Heijenoort,American
James J. Stoker,Eli Turkel,American
Kazimierz Twardowski,Stefan Banach,
Kazimierz Twardowski,Kazimierz Ajdukiewicz,
Kazimierz Twardowski,Tadeusz Kotarbiński,
Kazimierz Twardowski,Stanisław Leśniewski,
Kazimierz Twardowski,Jan Łukasiewicz,
Kazimierz Twardowski,Bronislaw Bandrowski,
Kazimierz Twardowski,Władysław Witwicki,
Antoni Zygmund,Alberto Calderón,Polish
Antoni Zygmund,Elias M. Stein,Polish
Antoni Zygmund,Paul Cohen,Polish
Antoni Zygmund,Elias Stein,Polish
